da train loss,es train loss,fr train loss,da val loss,es val loss,fr val loss
1.8065267820031576,,,,,
,1.1571668928378105,,,,
,,0.9083670346212452,,,
,,,1.118505091889894,0.7159293808151331,0.43533925345513674
0.6589684613715301,,,,,
,0.4743998014800684,,,,
,,0.38545705789617035,,,
,,,0.5763164684746933,0.4678576084542929,0.32534128962892345
0.4748005108164914,,,,,
,0.3850084136361196,,,,
,,0.3217353263830703,,,
,,,0.4625691061819494,0.3926394825894536,0.28106354493482977
0.4109829971981632,,,,,
,0.3350661127973142,,,,
,,0.2850267599256798,,,
,,,0.41230802619073875,0.3461831071698415,0.2511870761360742
0.37746255416948754,,,,,
,0.3050922723373362,,,,
,,0.2607570279932266,,,
,,,0.3794480429856737,0.31335936171365286,0.2331217682730835
0.354432102121775,,,,,
,0.284891136477341,,,,
,,0.24450747671965323,,,
,,,0.357072361646531,0.2902209768146999,0.2187122714994228
0.3377791059230996,,,,,
,0.2704548388986988,,,,
,,0.2320749643528792,,,
,,,0.34050530190672296,0.2743657332678026,0.20986232327676452
0.3261055882231024,,,,,
,0.25985142702807734,,,,
,,0.22293522194136284,,,
,,,0.32907328557274423,0.2634610058995557,0.2005561489974503
0.31617540338186534,,,,,
,0.25082017360983866,,,,
,,0.2149285689385907,,,
,,,0.32391690728675354,0.25611104598338075,0.19240766397092196
0.3081265811392621,,,,,
,0.24361739437612628,,,,
,,0.20949488769427999,,,
,,,0.31509229376524184,0.25022787606773933,0.18972758023084793
0.3032966356563633,,,,,
,0.24032875426429173,,,,
,,0.2076437713071947,,,
,,,0.31426343625300146,0.24771307057344472,0.18842508638590838
0.30171074166220085,,,,,
,0.23937723801417138,,,,
,,0.2072240703023204,,,
,,,0.3127763256270889,0.24722172358405803,0.18728000578363385
0.3015648701444486,,,,,
,0.2394747438159292,,,,
,,0.2071221894667897,,,
,,,0.313194279877004,0.24698145133902066,0.18708105067499972
0.3011768598898622,,,,,
,0.23897752976640044,,,,
,,0.20702683882861422,,,
,,,0.31029588180333145,0.24554686255524347,0.18655627806366018
0.30072041886197753,,,,,
,0.23857511126697706,,,,
,,0.2068661630844962,,,
,,,0.31226261236218544,0.2461339526347852,0.18618239057538782
0.30039537371481734,,,,,
,0.23847887577316526,,,,
,,0.20674100519251865,,,
,,,0.31081468480743274,0.2441914871166519,0.18605329390384454
0.30056630552260905,,,,,
,0.2380118164911128,,,,
,,0.20652660043810916,,,
,,,0.3098217732919121,0.24579126851238997,0.186248016845336
0.300092726981344,,,,,
,0.23816824196292954,,,,
,,0.206301342242648,,,
,,,0.308993501374769,0.2454960165434007,0.18760573910137193
0.3000966468252766,,,,,
,0.237999580533104,,,,
,,0.20646214231787202,,,
,,,0.30917940976791325,0.24544779210079082,0.18571473809733854
0.3002180466108564,,,,,
,0.2383364153824003,,,,
,,0.20591579301929763,,,
,,,0.3134148003131288,0.24454668645712402,0.18559573688338288
0.2999865312290127,,,,,
