fr train loss,fr val loss
1.719792541877352,
,0.7705384790369895
0.7247699744133812,
,0.5957686349881434
0.5769098344066181,
,0.4845886027918453
0.49064946626899797,
,0.416667618582734
0.4319768373310531,
,0.3709820672474076
0.3903746476910638,
,0.34211314848039004
0.3594635016549798,
,0.3137084340890952
0.33756613153147746,
,0.2982638605664262
0.32037749356901996,
,0.28541353474148606
0.30642012591818496,
,0.2725033858708576
0.29457048571470656,
,0.26268957112215263
0.284614326716852,
,0.2557679480156012
0.27633679019155777,
,0.24808916802954883
0.26849241284073183,
,0.24151496481051488
0.26205920792291504,
,0.2366355911292861
0.2561478188394305,
,0.23202356709315713
0.2511116686014007,
,0.22803806245854472
0.24681355924158263,
,0.2234805922065161
0.2426680001079251,
,0.22094958875559073
0.23821460460782262,
,0.2178821351939598
0.23504324541512328,
,0.21389342211516557
0.23186284782599673,
,0.20926317907540143
0.22857192023952935,
,0.20866982053338953
0.22617367543580374,
,0.2065389329353265
0.22318815820157845,
,0.20207304039360147
0.22103283021336154,
,0.19926755475786934
0.2182418978563432,
,0.19825808285875657
0.2159830720456991,
,0.19548406279192562
0.21395579628691777,
,0.192467779052996
0.2120986654021685,
,0.19199536761878866
0.2109811233412617,
,0.18996622954058437
0.2099526318528691,
,0.19179425660224086
0.20919935663029512,
,0.18898705309998673
0.20875616840753103,
,0.18735315836636365
0.20812905565305523,
,0.18791175516305772
0.2082499720541391,
,0.1878195463556104
0.20809149839817387,
,0.18698268725281267
0.20789909009084453,
,0.18801691086418862
